Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
VAPA,50.09517662,0.406049476,0.166809353,0.000812167,0.045150481
AHNAK2,26.18664737,0.560778572,0.432617621,0.005819926,0.129609928
BACH1-IT1,11.70549518,0.3869915,0.154979972,0.000578224,0.037848405
ETV4,18.46531416,-0.496203963,0.342144276,0.00299189,0.095531227
RDM1P3,10.3980377,-0.504333698,0.35246502,0.003408633,0.099066713
MISP3,4.482300623,-0.536515483,0.41699061,0.004821773,NA
MITA1,10.56956426,0.482129257,0.269844567,0.00264483,0.089411932
MMP24,12.07385235,-0.501146414,0.351823689,0.003351826,0.098690895
REEP3,53.29911026,0.419312599,0.181881699,0.001106318,0.054267441
SLC38A4,5.347084115,0.477852168,0.28153987,0.002550927,0.087647802
ENPP2,40.22234011,0.472009899,0.246874615,0.002391339,0.084792102
TMSB10,3884.713574,0.386084995,0.153069321,0.000627936,0.039602179
CDH1,169.1335661,-0.43579391,0.225157129,0.001460724,0.064109561
BTBD9,37.09452219,-0.450426117,0.248681373,0.001932485,0.073834148
TMEM71,5.746338929,0.512993375,0.355364705,0.004141248,0.107901938
GALNT2,37.94159149,0.372527723,0.142672118,0.000528119,0.036642825
IL1B,8.566609068,0.53174995,0.396847734,0.005217719,0.122442667
KAT7,23.7464795,-0.346341959,0.123337463,0.000322309,0.026292718
CSF3R,15.92782205,0.515709865,0.352140725,0.004599157,0.113916403
SMYD3-IT1,22.46279246,-0.465386024,0.288991039,0.002595974,0.088759823
RAB31,75.66719004,0.418898628,0.188425975,0.00134278,0.061261786
KCNQ1,12.79998478,0.522692654,0.37981635,0.005052839,0.120961911
TOM1,26.70097208,0.338318873,0.119659316,0.000290543,0.02518843
ASAP2,12.08262458,0.488616035,0.301497922,0.003573655,0.099966913
PRPF6,115.3954058,-0.402964367,0.184572962,0.001093128,0.054151345
HAS2,8.595285523,0.538177827,0.443368302,0.006097139,0.132827371
LRRC10B,3.403767101,0.569449848,1.467677146,0.008089839,NA
SEMA6B,4.25237093,0.503362631,0.380195431,0.004330352,NA
TYW1B,9.138373642,-0.425593205,0.20037408,0.001606357,0.068304287
GPRIN3,18.50652171,0.42668983,0.205522392,0.001652655,0.068324481
CARD14,2.391813471,0.513277536,0.501141652,0.005059544,NA
NR4A3,7.217685662,0.547366837,0.576582811,0.007091266,0.141730899
RHOBTB1,23.72326681,0.418953886,0.201965537,0.001745625,0.07050963
AKR1C7P,3.21246126,0.530127334,0.615439136,0.00666444,NA
BACH1-IT2,7.33621933,0.384368154,0.180344196,0.001024181,0.052111732
BCAR3,10.54530697,0.409923442,0.199344187,0.001579509,0.067932448
ZNF697,6.949062,0.412192962,0.205937309,0.00164147,0.068324481
SLC39A14,27.19430847,0.484010363,0.314157822,0.004321239,0.110497088
NUS1,19.32249077,0.325163567,0.115829414,0.000303199,0.02518843
TRPV4,6.314560951,0.469642521,0.306933881,0.003729183,0.102518394
MARCKS,68.62303304,0.388920541,0.169848247,0.001205314,0.056892335
SNX25,47.96730879,-0.452225063,0.315578393,0.003093964,0.096786913
BICDL3P,11.33779307,-0.480095202,0.43596738,0.004444239,0.111469543
C9orf72,14.3780176,0.34873393,0.137334249,0.000582477,0.037848405
BCL3,16.93093235,0.466542035,0.292164187,0.003909207,0.104968163
GMDS,18.37051684,0.461353378,0.288856181,0.003918293,0.105024251
RPL21P72,45.76414714,0.543628781,0.755878184,0.009077073,0.159539651
RPS6KA3,73.28236147,-0.36296544,0.156661314,0.000882922,0.047162462
DNAJC10,25.40276623,0.398465982,0.188802012,0.001658202,0.068324481
ABHD17C,33.00396468,0.470150075,0.305834869,0.004425269,0.111448465
ZNF354C,8.017882726,-0.430543013,0.234411944,0.002706459,0.089784306
PDE4B,16.41957051,0.445611057,0.268242846,0.00354191,0.099966913
LOC124900555,10.32587636,0.490960602,0.406640485,0.005992508,0.131451344
RNF149,51.72388535,0.307366466,0.106958931,0.00029389,0.02518843
ISCA2,11.98711453,-0.388920089,0.182749375,0.00163842,0.068324481
PLD1,12.2053489,0.412429228,0.22013842,0.002437228,0.08567398
RPS2P53,9.280531761,-0.397853725,0.194085094,0.001990188,0.074681817
ADCK2,17.49273189,-0.365694776,0.161241895,0.001199237,0.056784079
SULT2B1,2.736592616,0.489667676,0.735061241,0.006622173,NA
CYP2T1P,5.706340402,-1.188582064,0.413592488,0.128067869,0.504540346
SELENOS,35.87808416,0.352833723,0.148998098,0.001002078,0.051510938
BNIP3P42,6.968494656,-0.449870158,0.321707906,0.004560709,0.113526118
NPR3,10.06523399,0.461482648,0.344609505,0.005243216,0.122586722
ZNF738,5.35358745,-0.446267324,0.287525766,0.004413003,0.111448465
WTAP,38.65757425,0.284591883,0.094543752,0.000203717,0.020564214
RNU6-969P,9.867711367,-0.422537556,0.253297344,0.003293261,0.098690895
BRPF3,23.68553623,-0.370042575,0.174342998,0.00148973,0.064987528
CRELD2,22.82756611,0.400372427,0.209480037,0.002468665,0.085973677
SMAD2,15.92332989,0.355203214,0.156433303,0.001177911,0.056307134
MIR223HG,8.385230827,0.408599478,0.234133443,0.002879493,0.093350316
ATP9A,54.9210574,-0.386270576,0.207793301,0.002067194,0.076237298
POMP,84.20797172,0.332259194,0.131620591,0.000764458,0.04362935
TBL1XR1-AS1,12.63443765,0.334143192,0.137846694,0.000798853,0.044741703
FTLP14,7.577693425,-0.439793987,0.311144847,0.004439786,0.111469543
RAD51B,8.277353861,-0.420575231,0.259808364,0.003666849,0.101662532
MAP4K4,39.69951655,0.349061285,0.150630831,0.001186395,0.056497605
MMP19,17.04019939,0.486695583,0.59727595,0.00839994,0.152771414
MARCHF9,12.25781793,-0.407371056,0.248942205,0.003323972,0.098690895
GCLM,15.92672131,0.416912681,0.255040715,0.003862112,0.104371739
RNU6-60P,17.81354343,0.422394206,0.272376982,0.004335995,0.110574017
MSMB,35.25266827,1.29585774,1.124138171,0.169964381,0.562922628
PCDH17,9.570701413,0.413428753,0.266627967,0.004076305,0.107333854
SLC35E1,22.21641845,-0.314184346,0.122768651,0.000717825,0.042557008
IRAK2,12.28559616,0.401101573,0.238256388,0.003452934,0.099066713
DYNLL2,47.10879596,-0.334610366,0.146508677,0.00111966,0.054562282
NBPF26,8.706180934,-0.393710257,0.219237714,0.003110811,0.096786913
RPS27L,13.15615638,0.362757788,0.181260291,0.001985461,0.074681817
FHOD1,21.11565999,-0.353324315,0.168288976,0.001696851,0.069399807
PDE4D,35.1547626,0.464735748,0.459392433,0.00783614,0.148510679
AGPAT4,6.205037683,0.387981887,0.235571688,0.003063581,0.096605774
NMD3,40.31675889,0.319991446,0.130064113,0.000902531,0.047869237
LACC1,6.946533655,0.359819748,0.187472045,0.0019633,0.07431731
CPNE2,15.58343505,-0.395921587,0.249275271,0.003486667,0.099066713
SLAIN1,12.94326671,-0.418344979,0.339641656,0.004736532,0.115331297
TMEM117,6.284375614,0.372541214,0.218561701,0.002464329,0.085973677
TRIM17,6.046229669,0.446169522,0.444258467,0.006746975,0.139215554
LINC03034,6.738459747,0.420573653,0.308801696,0.005002532,0.120140798
TRIM52,10.97881717,-0.375981601,0.200841732,0.002737568,0.090309669
PRR5L,10.27335919,0.437774162,0.354780386,0.006300156,0.13508466
ARMC6,13.45836238,-0.342331832,0.154230321,0.001568557,0.067655293
HOOK2,17.48325327,-0.344536831,0.159999229,0.001635229,0.068324481
RGS5,34.4657652,0.405187561,0.252079526,0.004289796,0.110068094
DTX3,14.58655267,-0.387655293,0.236199504,0.003374486,0.098956245
MARVELD2,23.88821719,-0.378494539,0.223387736,0.002970462,0.095270577
SLC30A7,32.55246797,0.282882562,0.102180891,0.000418023,0.031216511
KSR1,15.16105674,0.451328085,0.44212747,0.007656577,0.147995887
IFITM1,121.3526701,0.44048193,0.359106418,0.006821466,0.139499962
BTBD9-AS1,36.0751443,-0.397499782,0.296197142,0.003993354,0.106018107
RND3,28.52919963,0.419597528,0.291860734,0.005349052,0.124672775
CNTROB,16.74478086,-0.351186633,0.171168604,0.001965621,0.07431731
NKX3-1,2.394730618,0.420119655,0.466880866,0.005467628,NA
HSPD1P11,15.7533159,-0.407671985,0.334385482,0.004693676,0.115331297
ZNF354A,12.68682503,-0.378592305,0.216662975,0.003145242,0.09713384
MYCT1,6.301415195,0.38065215,0.237235243,0.003254011,0.098690895
SBF2,12.8956581,0.339757025,0.160751476,0.001649756,0.068324481
TVP23B,14.83693227,0.34203949,0.16423476,0.001797959,0.071652827
FAM193B,21.48352875,-0.329856864,0.147799003,0.001432892,0.064011055
CLCN5,10.07574494,-0.394616707,0.260760859,0.004227618,0.109031854
CEP112,14.07736563,-0.39014012,0.259280795,0.003971324,0.105878464
MYL12A,139.4334688,0.336454957,0.152266565,0.001647652,0.068324481
TRMT1,16.57167238,-0.3296596,0.14635412,0.001450631,0.064096344
MVK,8.057333359,-0.383335103,0.225456886,0.003766641,0.103170217
FABP5,13.325692,0.439065273,0.459345698,0.007694456,0.147995887
TRAFD1,52.22419582,-0.337785935,0.165877998,0.001796782,0.071652827
PLN,13.95127737,0.392251339,0.257188568,0.004499548,0.112563695
GLCE,21.79494151,0.360940694,0.192866632,0.00284644,0.09308292
TRIM41,7.298473795,-0.389412793,0.244283324,0.004392565,0.111372292
SLFN12,14.99856735,-0.360141749,0.196557622,0.00282985,0.092853834
IL27RA,28.57809248,-0.387117661,0.291181573,0.004346347,0.110574017
ZBTB38,42.11823478,0.292603198,0.114833003,0.000759316,0.043614879
LRRC32,10.36697498,0.407889687,0.319078724,0.005847976,0.129849284
GCDH,10.87147261,-0.347513365,0.171855567,0.00240188,0.084828762
BNIP3P25,5.074011291,-0.406508803,0.286420605,0.005911324,0.131061999
PELATON,2.986663239,0.394434849,0.354318384,0.005053671,NA
LOC124902027,6.643164969,0.358092391,0.20565967,0.002955918,0.095211012
IFT57,78.86673499,-0.394430262,0.482960098,0.005105587,0.121642639
POLRMT,18.59774581,-0.323384876,0.146635473,0.001602408,0.068304287
ZC3H12C,12.19005135,0.347316812,0.181364774,0.002499404,0.086582294
CAMK2D,50.04404258,-0.363616791,0.22597244,0.003283445,0.098690895
SPRED2,23.92259103,-0.337653475,0.168423137,0.002121729,0.077741935
AGFG1,39.41399765,0.28156525,0.106490607,0.000622939,0.039452815
FUT2,20.02479499,0.427680102,0.42007691,0.00784872,0.148561525
RPS26P31,4.951546141,-0.4161775,0.375872757,0.006941452,0.140470404
CADPS2,64.97360541,-0.364323067,0.234994204,0.003443773,0.099066713
CDKN1A,82.61700878,0.391949153,0.256990477,0.005154723,0.121846284
RALA,38.88345131,0.296169039,0.12045686,0.000966073,0.050002581
TNFRSF11B,8.330184768,0.415121129,0.410168343,0.00706884,0.141556307
NR2C2AP,11.24015726,-0.342614074,0.170845901,0.002492619,0.086582294
CCDC50,26.64816668,0.306941364,0.132360682,0.001261287,0.058612748
TANK,34.27417221,0.267732281,0.097562055,0.00048801,0.034881122
CCL3L3,6.437371589,0.423535431,0.639157083,0.008106493,0.150218737
KCTD3,35.08897856,0.38093597,0.243761999,0.004746154,0.115331297
MAPK13,35.76739087,-0.331363882,0.167886253,0.002135656,0.077995618
CDC42P6,3.347750464,0.394817016,0.395278692,0.005797006,NA
FBXW7,23.63871872,0.323252247,0.152882914,0.001868567,0.072849837
FLT1,19.56382179,0.367831053,0.22306055,0.004077432,0.107333854
MORN4,6.796139267,-0.377505928,0.236250249,0.004713731,0.115331297
SLC5A8,5.365048608,1.830215281,0.512792881,0.331504215,0.720202384
PTGR1,27.14050031,0.420377373,0.4261591,0.008218994,0.151000127
GTF3C6,64.74097601,0.313589012,0.139916563,0.001616147,0.068324481
CCSER1,10.12462785,-0.39122006,0.337288165,0.005795532,0.129450795
NRBF2,30.06530627,0.28173394,0.110818209,0.000786812,0.044398658
IFITM3,490.3422658,0.343200968,0.177213247,0.002833248,0.092853834
RPL21P137,11.44091023,-0.39077633,0.385644147,0.005924109,0.131141518
DCAF15,15.00474469,-0.320750838,0.15058258,0.001959568,0.07431731
XXYLT1-AS2,2.643846383,1.075318676,0.219178863,0.156255606,NA
TMEM69,32.19033075,0.321262274,0.15237748,0.002006139,0.074905833
TEF,14.46604741,-0.383008783,0.355416774,0.005554208,0.127086382
ZNF107,16.48830949,-0.365891919,0.247602656,0.00436901,0.110962513
ZNF254,23.48056994,-0.343763739,0.19604074,0.003093842,0.096786913
TTC39C,15.03097601,0.385835048,0.284156478,0.005829025,0.129620241
LSAMP,7.710905633,0.39836846,0.382499053,0.0070731,0.141556307
ATP6V0B,67.10803095,0.333503626,0.169561055,0.00270968,0.089784306
SLC45A4-AS1,2.840294793,0.383993404,0.432802676,0.005919314,NA
AK3P5,14.35489369,0.327838016,0.169275489,0.002532211,0.087375844
UQCRH,153.3596612,0.329389591,0.164472266,0.002627929,0.089242569
MYO1E,36.22996923,0.351523673,0.203074583,0.003851015,0.104371739
COA6,10.46064262,0.347082961,0.204637793,0.003666856,0.101662532
KIF13A,39.70487994,-0.334502005,0.188950454,0.002997682,0.095531227
EIF4EP1,21.49595968,0.359676204,0.22378327,0.004545694,0.113340306
CALCRL,19.34906572,0.346857737,0.200786255,0.003727737,0.102518394
PECAM1,77.4112288,0.33373292,0.174744884,0.003049295,0.096357718
DLGAP1-AS2,4.656387723,0.382457392,0.369763246,0.00652806,0.137086057
SNORD13E,17.64837381,0.380194976,0.291393865,0.006352557,0.13508466
GABARAPL1,43.32300209,0.358758652,0.224855166,0.004734327,0.115331297
JADE2,21.62282556,-0.339276197,0.200435179,0.003485133,0.099066713
PTPN2,23.22083745,0.282580835,0.117940314,0.001123234,0.054562282
ECHDC2,18.45298941,-0.336654568,0.192797556,0.003440789,0.099066713
BACH1,46.30169588,0.279436698,0.114591715,0.001100292,0.054225794
ALCAM,128.8164231,-0.361782821,0.34268232,0.005223363,0.122442667
ETS2,117.9066179,0.379096676,0.283759173,0.006653413,0.138213009
SCN1B,2.884095192,0.378861064,0.671081356,0.006638935,NA
ANKRD37,8.882264103,0.373735952,0.299696822,0.006206457,0.13423475
PSMD14,28.58210725,0.303551643,0.14089912,0.001930192,0.073834148
TRIM24,23.88049992,-0.343439406,0.221643466,0.004090271,0.107333854
UACA,22.46635238,0.331781462,0.182814322,0.003383154,0.098988592
TSEN54,22.87323109,-0.299303116,0.138926755,0.001927346,0.073834148
NUP50-DT,6.730629321,0.335572531,0.195466552,0.003789192,0.103410507
SMURF2,47.12061685,-0.326573683,0.189878352,0.003289912,0.098690895
UGCG,73.35077858,0.324152901,0.170525856,0.003158621,0.097153471
PKIG,28.62404663,0.3520504,0.230383739,0.005207683,0.122442667
AKAP8L,18.74064878,-0.285123722,0.123051283,0.001538447,0.066740135
GGA2,49.50258456,-0.289653704,0.133284642,0.00175174,0.07050963
STK11,12.42694938,-0.328918347,0.18613469,0.00373809,0.102575388
UBE2L3,39.25520541,0.268422007,0.109075721,0.001088818,0.054116398
ANK3,16.96712369,-0.360383744,0.374986078,0.00626278,0.13508466
RPL18P10,18.23696724,-0.3304894,0.199625852,0.003988347,0.106018107
DNAJC1,41.37463899,0.286194845,0.127911622,0.001706777,0.069616091
DNMT1,20.78370097,-0.319232025,0.176274266,0.003327098,0.098690895
HLA-DOB,6.303858929,0.364121142,0.330627507,0.006777254,0.139351487
NNMT,176.8250392,0.390313821,0.45840202,0.009541387,0.16311202
LYST,28.61179324,-0.298641195,0.146713413,0.002329513,0.083252346
FHIP1A-DT,10.20450732,-0.352724578,0.268267211,0.006059005,0.13238089
MMRN1,11.21318272,0.383751999,0.593606773,0.009156284,0.16035515
PGLS,24.5725374,-0.286761313,0.132283627,0.001976742,0.074550008
H6PD,38.87454986,0.283905548,0.128600198,0.001874622,0.072896554
HIRIP3,7.54568978,-0.343480474,0.223226682,0.00557421,0.127126836
XAB2,19.02396603,-0.284867698,0.128917481,0.001933166,0.073834148
BMERB1,8.276192895,0.366875287,0.387568769,0.007865631,0.148566811
QTRT1,18.48985039,-0.307497019,0.162903809,0.003114462,0.096786913
RNU7-45P,57.87279659,-0.34747724,0.358601816,0.006113399,0.132988588
CDC34,38.98269027,-0.309199462,0.173606293,0.003306714,0.098690895
PLBD1,34.95217693,0.372756571,0.377421496,0.008774463,0.156048214
RAB11A,57.5434336,0.310230945,0.165268556,0.003450451,0.099066713
PTK7,56.64179342,-0.328067486,0.231370293,0.004734963,0.115331297
ZNF43,12.55916679,-0.341025984,0.264266954,0.005932384,0.131141518
CIB1,122.0629005,0.30573318,0.159801879,0.003353255,0.098690895
RIOX1,14.22437306,-0.303573664,0.158199751,0.00323169,0.098690895
VILL,6.863945863,1.22563167,0.25011506,0.241827796,0.642428625
PIM3,89.97902701,0.340005782,0.231198911,0.006126162,0.133073368
ABHD11,32.95503709,-0.330526653,0.251757376,0.005312145,0.124005124
SLC44A1,37.22545557,0.294477557,0.148281127,0.002876,0.093350316
SDC4,383.2731277,-0.334161556,0.324883556,0.00581467,0.129609928
NUDT17,7.618215652,-0.33993615,0.244029686,0.00642587,0.135848328
GPRC5B,3.794435485,0.348821701,0.495930876,0.007463417,NA
LYVE1,9.856014794,0.365229706,0.693178607,0.009376552,0.161603009
RIOK3,51.2090096,0.290683329,0.144760392,0.002865136,0.093287849
MAPK9,21.84494837,-0.300572632,0.164991017,0.003491425,0.099066713
MTCO3P2,2.834917066,0.344489239,0.793449602,0.007278908,NA
CD163L1,10.8256449,0.340284908,0.276710996,0.006925085,0.140466917
GTF2IP14,9.272428081,-0.345899319,0.411459644,0.007649977,0.147995887
SPATS2,14.44701328,0.310529465,0.186444345,0.004401943,0.111421874
ZNF14,13.94367748,-0.300898151,0.163699699,0.003705421,0.102239643
FAM161B,4.381625833,-0.358493889,0.345381552,0.009174568,NA
TINAGL1,16.90017734,0.362101759,0.513638541,0.009692637,0.163836125
B3GNT5,15.1042683,0.331387797,0.238171613,0.006353749,0.13508466
PRKAA1,49.86962824,0.302716354,0.166886767,0.003963022,0.105845114
PDLIM5,37.955206,0.301436753,0.167140697,0.003997751,0.106018107
RFX3,7.608690837,0.31498987,0.211208287,0.005114207,0.121654917
FBXL20,18.97293792,-0.285289353,0.143639607,0.00298609,0.095531227
FAM120C,9.214452208,-0.340379018,0.462147195,0.00769784,0.147995887
GPX4,191.0219196,-0.303004243,0.193892888,0.004308215,0.110352053
CA2,25.26138478,1.620742301,0.32813517,0.362370573,0.742688264
RASSF8,19.74004128,-0.331326235,0.374331808,0.006980155,0.140700269
SLC38A2,145.2701555,0.307865022,0.181495789,0.004884663,0.117875861
RN7SKP255,79.84081692,-2.150975456,0.174002779,0.46702541,0.802800206
FAM20C,15.28643231,0.338513187,0.295654934,0.00799087,0.149928699
EPHB2,7.769952077,0.353701398,0.760126301,0.009846118,0.165128744
SLC41A1,21.4865993,-0.328784723,0.353266405,0.006943973,0.140470404
WDR45B,114.2897322,0.310986206,0.188957582,0.005228897,0.122442667
FBP1,65.86377188,-0.324427498,0.532866619,0.006542744,0.137160037
CTF1,5.097295909,-0.343856465,0.59144586,0.0089224,0.157935451
MPPE1,10.96592241,0.285817104,0.156805179,0.003441051,0.099066713
RUNX1-AS1,29.11576984,-0.311370933,0.225507786,0.005598324,0.127126836
RASA3,14.24532203,0.315392251,0.220137392,0.005981139,0.131451344
CD82,31.24914984,0.332739701,0.273703598,0.007923033,0.149215466
TP53I11,21.2828809,0.322201953,0.23895405,0.006809217,0.139499962
CD58,29.9853438,0.27769609,0.140834697,0.003129692,0.097059242
CYB5R4,9.311597433,0.28355471,0.158350926,0.003533391,0.099966913
PPP1R9A,30.36834541,-0.319019965,0.29795156,0.006652375,0.138213009
TMX3,25.62364029,0.251158593,0.110352829,0.001777037,0.071319052
CLK4,20.0512283,-0.2990483,0.186965951,0.004901143,0.118066173
MYL12B,399.7174801,0.285317725,0.15027223,0.003804005,0.103438624
MMADHC,70.99837486,0.267261692,0.127741736,0.002701247,0.089784306
PLEKHM1P1,19.44083657,-0.316629149,0.273834934,0.006804254,0.139499962
ARPC5,42.38295211,0.241900002,0.100791909,0.001460571,0.064109561
CIRBP,70.69826294,-0.275476976,0.146556972,0.003241568,0.098690895
PNPO,10.8842297,-0.301151613,0.186351009,0.005487608,0.126158299
LRCH1,15.1600111,0.280604867,0.154820504,0.00379902,0.103438624
SMIM29,17.07869854,-0.284064585,0.157457853,0.004142486,0.107901938
UBE2Q2,29.98549004,0.272306243,0.139806514,0.003330109,0.098690895
CEMIP2,74.94830843,0.281907601,0.153259938,0.00416224,0.107901938
LMAN1,116.5871063,0.273984128,0.140642771,0.003576385,0.099966913
CDIP1,13.49467627,-0.296127636,0.185919395,0.005486823,0.126158299
HIF1A-AS3,43.61833295,0.323691183,0.276713796,0.008733478,0.155873369
EPOR,10.35702375,-0.31270912,0.270710424,0.007759678,0.147995887
KLF3,38.00403051,0.276636567,0.150970908,0.004178113,0.108126694
MEAF6,22.16060451,-0.292315663,0.197571693,0.005760381,0.12924263
TM9SF3,112.7913274,0.284490335,0.165111642,0.005092521,0.121524219
PLEKHA1,10.31376251,0.289733393,0.194028227,0.005733337,0.128828425
SLC22A23,19.78683962,0.324758571,0.374157377,0.010015955,0.166120974
HSD17B8,32.38042609,-0.300473687,0.265430558,0.006983458,0.140700269
ARHGAP21,38.98479317,0.254854794,0.123542938,0.002924968,0.094620203
ZNF846,11.05321968,-0.289831122,0.181959316,0.005942087,0.131162832
ZNF879,5.764757446,-0.320084166,0.43756975,0.00964652,0.163368197
ZSCAN25,13.94236645,-0.270079216,0.142572082,0.004110965,0.107688641
SLC35B3,21.48279576,0.24343084,0.111860157,0.002272199,0.081984858
PAFAH1B2,46.77592891,0.244921303,0.111522695,0.002362166,0.084218795
LRRC8B,15.30797156,0.25806789,0.132373176,0.003275978,0.098690895
FRMD3,3.478205865,0.303198277,0.428058287,0.00795402,NA
RPL35AP9,3.751260061,0.306614366,0.452731223,0.008456776,NA
ZNF462,15.99776607,-0.300817425,0.258530205,0.007736087,0.147995887
AP3S1,39.47055923,0.255348127,0.127081092,0.003256698,0.098690895
MIR3140,45.58822055,0.288410472,0.186529173,0.006323304,0.13508466
XBP1,466.9657956,0.312982748,0.276904882,0.009551996,0.16311202
CASP3,41.60140278,0.255044261,0.127080904,0.003345382,0.098690895
NT5DC3,10.52238181,-0.304215232,0.316948115,0.008635604,0.15560674
DHRS7,49.90439428,-0.286793491,0.225332147,0.006657429,0.138213009
EEF1DP7,8.421331292,-0.299606665,0.237899414,0.008350461,0.152771414
